ticker,security_type,name,valid_from,valid_to
ETFC,EQUITY,E TRADE Financial Corp,1996-08-16,2020-10-02
ETSY,EQUITY,Etsy Inc,2015-04-16,
EVHC,EQUITY,Envision Healthcare Holdings Inc,2013-08-14,2018-12-14
FCN,EQUITY,FTI Consulting Inc,1996-05-09,
FCPT,EQUITY,Four Corners Property Trust Inc,2015-11-10,
FDO,EQUITY,Family Dollar Stores Inc,1985-02-25,2015-07-13
FHN,EQUITY,First Horizon Corporation,1990-03-26,
FL,EQUITY,Foot Locker Inc,1970-01-02,
FLEX,EQUITY,Flex Ltd,1994-03-18,
FLIR,EQUITY,Flir Systems Inc,1993-06-22,2021-05-14
FLR,EQUITY,Fluor Corporation,2000-12-01,
FLS,EQUITY,Flowserve Corp,1990-03-26,
FLT,EQUITY,Fleetcor Technologies Inc,2010-12-15,
FMC,EQUITY,FMC Corp,1985-07-01,
FMCC,EQUITY,Federal Home Loan Mortgage Corp,1988-12-02,
FNMA,EQUITY,Federal National Mortgage Association,1977-01-03,
FOSL,EQUITY,Fossil Group Inc,1993-04-08,
FRX,EQUITY,Forest Laboratories Inc,1988-04-19,2014-07-01
FTI,EQUITY,TechnipFMC plc,2001-06-14,
FWLT,EQUITY,Foster Wheeler AG,1972-06-01,2014-12-03
GAS,EQUITY,AGL Resources Inc,1973-05-03,2016-07-01
GGP,EQUITY,General Growth Properties Inc,1993-04-08,2018-08-28
GHC,EQUITY,Graham Holdings Co. - Class B,1990-01-24,
GMCR,EQUITY,Green Mountain Coffee Roasters Inc,2001-01-12,2016-03-04
GME,EQUITY,Gamestop Corporation - Class A,2002-02-13,
GNW,EQUITY,Genworth Financial Inc - Class A,2004-05-25,
GRA,EQUITY,W.R. Grace & Company,1982-01-04,2021-09-22
GT,EQUITY,Goodyear Tire & Rubber Company,1970-01-02,
H,EQUITY,Hyatt Hotels Corporation - Class A,2009-11-05,
HAR,EQUITY,Harman International Industries IncDE,2016-01-04,2017-03-10
HBI,EQUITY,Hanesbrands Inc,2006-09-06,
HCBK,EQUITY,Hudson City Bancorp Inc,1999-07-13,2015-10-30
HES,EQUITY,Hess Corporation,1983-04-06,2025-07-18
HNZ,EQUITY,H.J. Heinz Company,2001-01-02,2013-10-17
HOG,EQUITY,Harley-Davidson Inc,1987-11-05,
HOLX,EQUITY,Hologic Inc,1990-03-26,2026-04-07
HP,EQUITY,Helmerich & Payne Inc,1980-10-15,
HPC,EQUITY,HERCULES INC,2006-12-28,2008-11-24
HRB,EQUITY,H&R Block Inc,1986-11-12,
HSH,EQUITY,Hillshire Brands Company,1986-05-05,2014-08-29
HSP,EQUITY,Hospira Inc,2004-05-03,2015-09-02
ILMN,EQUITY,Illumina Inc,2000-07-28,
IPG,EQUITY,Interpublic Group Of Cos. Inc,1987-11-05,2025-11-26
IPGP,EQUITY,IPG Photonics Corp,2006-12-13,
ITT,EQUITY,ITT Inc,1995-12-18,
JEF,EQUITY,Jefferies Financial Group Inc,1987-11-05,
JNPR,EQUITY,Juniper Networks Inc,1999-06-25,2025-07-02
JNS,EQUITY,Janus Capital Group Inc,2000-06-26,2017-05-30
JNY,EQUITY,The Jones Group Inc,1991-05-16,2014-04-09
JOY,EQUITY,Joy Global Inc,2001-05-25,2017-04-13
JWN,EQUITY,Nordstrom Inc,1986-07-09,2025-05-20
K,EQUITY,Kellanova,1984-12-17,2025-12-11
KATE,EQUITY,Kate Spade & Company,1981-06-09,2017-07-12
KBH,EQUITY,KB Home,1987-11-05,
KMG,EQUITY,KMG Chemicals Inc,1997-01-28,2018-12-14
KMX,EQUITY,Carmax Inc,1997-02-04,
KRFT,EQUITY,Kraft Foods Group Inc,2012-09-17,2015-07-10
KSS,EQUITY,Kohl`s Corp,1992-05-19,
KSU,EQUITY,Kansas City Southern,1987-11-05,2021-12-13
LEG,EQUITY,Leggett & Platt Inc,1987-11-05,
LKQ,EQUITY,LKQ Corp,2003-10-03,
LLTC,EQUITY,Linear Technology Corp,2016-01-04,2017-03-20
LM,EQUITY,Legg Mason Inc,1987-11-05,2020-07-31
LNC,EQUITY,Lincoln National Corp,1984-10-05,
LO,EQUITY,Lorillard Inc,2002-02-01,2015-06-22
LPX,EQUITY,Louisiana-Pacific Corp,1982-01-04,
LSI,EQUITY,Life Storage Inc,1995-06-21,2023-07-19
LUB,EQUITY,Luby`s Inc,1985-07-01,2022-06-21
LUMN,EQUITY,Lumen Technologies Inc,1987-11-05,
LVLT,EQUITY,Level 3 Communications Inc,1998-03-31,2017-11-01
LW,EQUITY,Lamb Weston Holdings Inc,2016-11-10,
M,EQUITY,Macy`s Inc,1992-02-05,
MAC,EQUITY,Macerich Company,1994-03-10,
MAT,EQUITY,Mattel Inc,1982-01-04,
MBI,EQUITY,MBIA Inc,1987-07-02,
MD,EQUITY,Pediatrix Medical Group Inc,1995-09-20,
MDP,EQUITY,Meredith Corp,1985-07-01,2021-12-01
MDR,EQUITY,McDermott International,1982-12-31,2020-01-22
MER,EQUITY,MERRILL LYNCH CO INC,2006-12-28,2008-12-31
MFE,EQUITY,McAfee Inc,2006-12-28,2011-03-01
MHK,EQUITY,Mohawk Industries Inc,1992-04-01,
MHS,EQUITY,MEDCO HEALTH SOLUTIONS INC,2006-12-28,2013-04-10
MIL,EQUITY,MFC Industrial Ltd,1996-05-08,2016-02-12
MIR,EQUITY,Mirion Technologies Inc - Class A,2020-08-20,
MJN,EQUITY,Mead Johnson Nutrition CO,2009-02-11,2017-07-14
MKTX,EQUITY,MarketAxess Holdings Inc,2004-11-05,
