ticker,security_type
FSLR,EQUITY
LYV,EQUITY
RMD,EQUITY
HUBB,EQUITY
XYL,EQUITY
CINF,EQUITY
FICO,EQUITY
CBOE,EQUITY
ARES,EQUITY
FISV,EQUITY
CPRT,EQUITY
WSM,EQUITY
PPG,EQUITY
PPL,EQUITY
HSY,EQUITY
WDAY,EQUITY
ES,EQUITY
SYF,EQUITY
AVB,EQUITY
CPAY,EQUITY
RF,EQUITY
WTW,EQUITY
VRSK,EQUITY
AWK,EQUITY
DRI,EQUITY
FE,EQUITY
OMC,EQUITY
DG,EQUITY
TROW,EQUITY
VEEV,EQUITY
WST,EQUITY
PHM,EQUITY
DOW,EQUITY
CTSH,EQUITY
CHD,EQUITY
MTD,EQUITY
LUV,EQUITY
SW,EQUITY
CMS,EQUITY
NI,EQUITY
EQR,EQUITY
CHRW,EQUITY
VRSN,EQUITY
PFG,EQUITY
DGX,EQUITY
LH,EQUITY
FFIV,EQUITY
EXPD,EQUITY
MRNA,EQUITY
HPQ,EQUITY
KEY,EQUITY
EXE,EQUITY
VLTO,EQUITY
TPL,EQUITY
SBAC,EQUITY
PKG,EQUITY
EL,EQUITY
WRB,EQUITY
FIS,EQUITY
ULTA,EQUITY
SNA,EQUITY
JBHT,EQUITY
KHC,EQUITY
STZ,EQUITY
STE,EQUITY
DLTR,EQUITY
ALB,EQUITY
DD,EQUITY
IFF,EQUITY
EVRG,EQUITY
IP,EQUITY
FTV,EQUITY
AMCR,EQUITY
LEN,EQUITY
LNT,EQUITY
EFX,EQUITY
L,EQUITY
AKAM,EQUITY
VTRS,EQUITY
GIS,EQUITY
WY,EQUITY
ESS,EQUITY
FDXF,EQUITY
NVR,EQUITY
BRO,EQUITY
ZBH,EQUITY
IEX,EQUITY
CDW,EQUITY
KIM,EQUITY
CF,EQUITY
INCY,EQUITY
LII,EQUITY
BR,EQUITY
INVH,EQUITY
TXT,EQUITY
LYB,EQUITY
TSN,EQUITY
TSCO,EQUITY
BG,EQUITY
GPN,EQUITY
HST,EQUITY
MAA,EQUITY
RL,EQUITY
GNRC,EQUITY
BALL,EQUITY
NDSN,EQUITY
SATS,EQUITY
DECK,EQUITY
GPC,EQUITY
LVS,EQUITY
MAS,EQUITY
J,EQUITY
BBY,EQUITY
PTC,EQUITY
LDOS,EQUITY
SMCI,EQUITY
EG,EQUITY
GL,EQUITY
DOC,EQUITY
AIZ,EQUITY
APTV,EQUITY
ROL,EQUITY
GEN,EQUITY
CSGP,EQUITY
TKO,EQUITY
SWK,EQUITY
REG,EQUITY
IVZ,EQUITY
COO,EQUITY
TYL,EQUITY
PNW,EQUITY
AVY,EQUITY
SJM,EQUITY
APA,EQUITY
PNR,EQUITY
MKC,EQUITY
LULU,EQUITY
ALGN,EQUITY
TRMB,EQUITY
HII,EQUITY
CLX,EQUITY
UDR,EQUITY
ZBRA,EQUITY
CPT,EQUITY
CHTR,EQUITY
ALLE,EQUITY
HAS,EQUITY
SOLV,EQUITY
RVTY,EQUITY
SWKS,EQUITY
AES,EQUITY
BEN,EQUITY
GDDY,EQUITY
FOXA,EQUITY
PODD,EQUITY
BAX,EQUITY
DPZ,EQUITY
NWSA,EQUITY
FRT,EQUITY
IT,EQUITY
BXP,EQUITY
NCLH,EQUITY
CRL,EQUITY
JKHY,EQUITY
MGM,EQUITY
WYNN,EQUITY
TECH,EQUITY
FDS,EQUITY
BLDR,EQUITY
HSIC,EQUITY
TTD,EQUITY
UHS,EQUITY
ARE,EQUITY
MOS,EQUITY
HRL,EQUITY
DVA,EQUITY
AOS,EQUITY
TAP,EQUITY
FOX,EQUITY
POOL,EQUITY
CAG,EQUITY
ERIE,EQUITY
BF.B,EQUITY
CPB,EQUITY
NWS,EQUITY
PSKY,EQUITY
